PLAYER,TEAM,PRRollmanFreq%,PRRollmanPercentile
AJ Green,MIL,5.3,95
Aaron Gordon,DEN,4.2,84.9
Aaron Nesmith,IND,4.9,97.8
Aaron Wiggins,OKC,4.5,48.9
Adem Bona,PHI,21.2,67.3
Al Horford,BOS,15,28.4
Alex Caruso,OKC,6.5,7.2
Alex Sarr,WAS,26.3,12.2
Alperen Sengun,HOU,18.2,27.7
Amen Thompson,HOU,3.2,20.5
Amir Coffey,LAC,3.6,40.6
Andre Drummond,PHI,21.5,32.4
Andre Jackson Jr.,MIL,3.8,51.4
Anthony Black,ORL,1.9,3.2
Anthony Davis,LAL,19.2,77
Anthony Davis,DAL,20.1,23.7
Anthony Edwards,MIN,0.7,46.9
Ausar Thompson,DET,5.6,12.9
Austin Reaves,LAL,2.2,65.9
Bam Adebayo,MIA,17.9,30.6
Ben Simmons,BKN,5.2,59.1
Bilal Coulibaly,WAS,1.3,50
Bobby Portis,MIL,15.8,70.9
Bogdan Bogdanović,ATL,8,93.9
Bol Bol,PHX,5.6,89.7
Bradley Beal,PHX,2.6,69.1
Brandin Podziemski,GSW,2.4,53.8
Brandon Boston,NOP,2.3,90.9
Brandon Clarke,MEM,14.8,82.7
Brandon Ingram,NOP,2.6,4
Brandon Miller,CHA,3.7,40.6
Brice Sensabaugh,UTA,2.9,98.9
Brook Lopez,MIL,24.2,73.4
Buddy Hield,GSW,1.7,8.3
CJ McCollum,NOP,1.4,2.2
Caleb Houstan,ORL,7.6,44.9
Cameron Johnson,BKN,1.5,25.4
Cason Wallace,OKC,2.7,72
Charles Bassey,SAS,24.8,78.1
Chet Holmgren,OKC,12.1,69.1
Chris Boucher,TOR,5.5,29.2
Christian Braun,DEN,3.7,87.4
Clint Capela,ATL,24.3,44.2
Coby White,CHI,0.7,13.4
Cody Martin,CHA,3.9,98.6
Cole Anthony,ORL,1.9,86.3
Corey Kispert,WAS,6.3,34.3
Cory Joseph,ORL,6.7,65.9
D'Angelo Russell,LAL,4.4,1.8
Dalton Knecht,LAL,2.9,93.2
Daniel Gafford,DAL,18.7,64.7
Daniel Theis,NOP,34.3,42.1
Dario Šarić,DEN,23.4,2.9
Day'Ron Sharpe,BKN,12.7,24.5
De'Andre Hunter,ATL,6.3,61.9
DeAndre Jordan,DEN,21.5,72
Dean Wade,CLE,9.9,46.9
Deandre Ayton,POR,28.1,56.1
Deni Avdija,POR,1.2,48
Dereck Lively II,DAL,21,63.3
Derrick Jones Jr.,LAC,6.6,45.7
Derrick White,BOS,2.5,1.4
Devin Booker,PHX,2.1,48.6
Devin Vassell,SAS,1.3,92.8
Dillon Brooks,HOU,2,41.7
Domantas Sabonis,SAC,22.4,76.6
Dominick Barlow,ATL,15.3,95.3
Donovan Clingan,POR,19.5,37.1
Donovan Mitchell,CLE,1.5,15.5
Dorian Finney-Smith,LAL,9.2,57.6
Dorian Finney-Smith,BKN,10.7,13.4
Draymond Green,GSW,8.3,14.7
Drew Eubanks,UTA,18,70
Drew Eubanks,LAC,21.2,11.2
Duncan Robinson,MIA,4.2,76.3
Duop Reath,POR,20.7,3.2
Dwight Powell,DAL,10.1,72
Dyson Daniels,ATL,5.4,20.9
Evan Mobley,CLE,12.6,66.5
Franz Wagner,ORL,2.4,54.7
Fred VanVleet,HOU,2.4,90.9
Gabe Vincent,LAL,2.5,2.2
Garrison Mathews,ATL,5.7,1.1
Gary Payton II,GSW,9.7,80.6
Gary Trent Jr.,MIL,3.4,49.3
Georges Niang,ATL,23,57.9
Georges Niang,CLE,8.1,38.8
Giannis Antetokounmpo,MIL,8.5,62.9
Goga Bitadze,ORL,17,64
Gradey Dick,TOR,1.3,100
Grant Williams,CHA,18.7,20.9
Grayson Allen,PHX,5.5,38.5
Guerschon Yabusele,PHI,23,55.8
Harrison Barnes,SAS,3.4,67.6
Haywood Highsmith,MIA,3.4,44.9
Herbert Jones,NOP,5.7,34.3
Isaac Okoro,CLE,5.4,84.1
Isaiah Hartenstein,OKC,24.6,56.7
Isaiah Joe,OKC,9.4,84.5
Isaiah Stewart,DET,20.4,64.4
Ivica Zubac,LAC,19.6,78.8
Ja'Kobe Walter,TOR,2.1,93.5
Jabari Smith Jr.,HOU,5.5,57.2
Jabari Walker,POR,9.2,24.8
Jaden McDaniels,MIN,3.4,55.4
Jakob Poeltl,TOR,24.9,72.7
Jalen Duren,DET,16,75.5
Jalen Johnson,ATL,8.7,46.4
Jalen Smith,CHI,22.9,63.7
Jalen Suggs,ORL,1.7,90.9
Jalen Wilson,BKN,1.6,22.7
Jamal Murray,DEN,0.9,89.7
Jamison Battle,TOR,4.5,15.1
Jarace Walker,IND,2.6,89.7
Jaren Jackson Jr.,MEM,4.6,62.6
Jarred Vanderbilt,LAL,8.3,25.4
Jarrett Allen,CLE,28.9,86.7
Javonte Green,NOP,4,34.3
Jaxson Hayes,LAL,24.8,91.7
Jay Huff,MEM,11.5,25.4
Jaylen Brown,BOS,0.9,16.2
Jaylin Williams,OKC,20.4,30.2
Jayson Tatum,BOS,3.9,32.7
Jeff Green,HOU,8.5,89.7
Jeremiah Robinson-Earl,NOP,8.3,16.7
Jeremy Sochan,SAS,14.1,74.1
Jimmy Butler III,MIA,3.6,92.8
Jock Landale,HOU,28.4,53.8
Joel Embiid,PHI,24.7,47.5
John Collins,UTA,10.3,51.1
Johnny Juzang,UTA,3.9,59.1
Jonas Valančiūnas,WAS,23.1,60.8
Jonas Valančiūnas,SAC,16.3,26.6
Jonathan Isaac,ORL,9,10.8
Jonathan Kuminga,GSW,2.7,34.3
Jonathan Mogbo,TOR,11,79.9
Jordan Clarkson,UTA,1.9,15.5
Jordan Goodwin,LAL,5.6,72
Jordan Hawkins,NOP,2,77.6
Jordan Poole,WAS,1,16.7
Jose Alvarado,NOP,1.6,0
Josh Hart,NYK,4.1,48
Jrue Holiday,BOS,3.8,29.9
Julian Champagnie,SAS,4.7,38.1
Julian Phillips,CHI,3.2,34.3
Julian Strawther,DEN,1.7,100
Julius Randle,MIN,7.7,50
Justin Champagnie,WAS,2,98.2
Jusuf Nurkić,PHX,24.9,20.1
Jusuf Nurkić,CHA,17.7,53.8
KJ Martin,PHI,9.6,89.7
Karl-Anthony Towns,NYK,12.6,79.1
Karlo Matković,NOP,20.8,68
Keegan Murray,SAC,1.8,5.4
Kel'el Ware,MIA,24,73.7
Keldon Johnson,SAS,2.6,65.9
Kelly Olynyk,TOR,15.6,61.4
Kelly Oubre Jr.,PHI,1.5,92.8
Kenrich Williams,OKC,6.9,39.6
Kentavious Caldwell-Pope,ORL,4.4,59.1
Keon Ellis,SAC,2.5,59.1
Kessler Edwards,DAL,7,34.3
Kevin Durant,PHX,4.5,69.1
Kevin Huerter,CHI,3.6,34.3
Kevin Love,MIA,10,16.7
Kevon Looney,GSW,12.5,39.9
Keyonte George,UTA,1.1,6.1
Klay Thompson,DAL,2.8,83.1
Kris Dunn,LAC,4.2,10.4
Kristaps Porziņģis,BOS,21.6,81.3
Kyle Anderson,MIA,10.6,43.2
Kyle Filipowski,UTA,9.7,24.1
Kyle Kuzma,WAS,1.9,97.5
Kyle Kuzma,MIL,2.5,9.7
Kyrie Irving,DAL,1.4,5.4
Larry Nance Jr.,ATL,15.8,52.5
Lauri Markkanen,UTA,11.8,31.3
LeBron James,LAL,3.1,32
Luguentz Dort,OKC,3.9,70.5
Luke Kennard,MEM,2.9,89.7
Luke Kornet,BOS,18.1,87.8
Malik Beasley,DET,3.2,37.8
Malik Monk,SAC,1.4,18.5
Mark Williams,CHA,28.8,50.7
Mason Plumlee,PHX,20.9,79.5
Matas Buzelis,CHI,2.4,96.7
Max Christie,LAL,4.4,96.7
Max Strus,CLE,5.7,99.3
Maxi Kleber,DAL,12.5,27.3
Micah Potter,UTA,12,21.7
Michael Porter Jr.,DEN,2.2,61.4
Mikal Bridges,NYK,2.4,75.1
Miles Bridges,CHA,4.1,60.4
Mo Bamba,LAC,28,23.1
Moritz Wagner,ORL,20.5,26.3
Moussa Diabaté,CHA,22.7,73
Myles Turner,IND,27.9,52.9
Naji Marshall,DAL,2.5,4
Naz Reid,MIN,12.9,41.4
Neemias Queta,BOS,17.3,80.2
Nic Claxton,BKN,16.9,43.5
Nick Richards,PHX,28.7,81.7
Nick Richards,CHA,24.6,66.9
Nick Smith Jr.,CHA,4.5,9.4
Nicolas Batum,LAC,8.5,18.5
Nikola Jokić,DEN,12,83.5
Nikola Jović,MIA,5.3,9
Nikola Vučević,CHI,28.3,60.1
Noah Clowney,BKN,11.6,7.6
OG Anunoby,NYK,2,19.4
Obi Toppin,IND,7.4,85.6
Ochai Agbaji,TOR,4.3,62.2
Olivier-Maxence Prosper,DAL,4.5,85.3
Onyeka Okongwu,ATL,22.7,82.4
Orlando Robinson,TOR,20.2,28.8
Oscar Tshiebwe,UTA,21.7,96.7
Oso Ighodaro,PHX,32,37.4
Ousmane Dieng,OKC,9.3,75.9
P.J. Washington,DAL,3.5,46
Paolo Banchero,ORL,6.4,31.7
Pascal Siakam,IND,9.6,51.8
Pat Connaughton,MIL,5.1,14.1
Patrick Williams,CHI,2.2,16.7
Payton Pritchard,BOS,1.5,80.9
Peyton Watson,DEN,6.8,23.1
Precious Achiuwa,NYK,14.3,28.1
Quentin Grimes,DAL,2.4,34.3
Quinten Post,GSW,13.8,50
RJ Barrett,TOR,1.2,5
Richaun Holmes,WAS,23.9,97.1
Ricky Council IV,PHI,4.1,29.2
Robert Williams III,POR,25.5,94.2
Royce O'Neale,PHX,4.8,30.9
Rudy Gobert,MIN,22.3,74.5
Rui Hachimura,LAL,8.1,18
Russell Westbrook,DEN,1.1,6.1
Ryan Dunn,PHX,8.2,69.1
Sam Hauser,BOS,4.8,34.3
Sam Merrill,CLE,7.4,43.9
Sandro Mamukelashvili,SAS,18.6,56.7
Santi Aldama,MEM,3.4,9.7
Scottie Barnes,TOR,3.6,59.1
Scotty Pippen Jr.,MEM,1.7,11.2
Seth Curry,CHA,4.6,7.9
Simone Fontecchio,DET,4.1,34.3
Stephen Curry,GSW,1.1,84.1
Stephon Castle,SAS,1.6,21.7
Steven Adams,HOU,15.5,6.8
Taj Gibson,CHA,28.5,4.7
Tari Eason,HOU,2.4,18.5
Taurean Prince,MIL,3.1,52.2
Terance Mann,LAC,5.5,0.4
Thomas Bryant,IND,22.7,86.3
Tidjane Salaün,CHA,4.7,0.7
Tim Hardaway Jr.,DET,4.2,75.1
Tobias Harris,DET,3.9,70
Toumani Camara,POR,7.7,91.4
Trayce Jackson-Davis,GSW,19.9,42.4
Trendon Watford,BKN,3.1,27
Trey Jemison III,LAL,22.6,94.6
Trey Lyles,SAC,14.8,19.8
Trey Murphy III,NOP,3.8,77.6
Tristan Vukcevic,WAS,29.7,82
Tristan da Silva,ORL,5,11.2
Tyler Herro,MIA,1.1,53.8
Tyus Jones,PHX,2,44.9
Victor Wembanyama,SAS,15,65.1
Vít Krejčí,ATL,4.1,8.3
Walker Kessler,UTA,19.4,40.6
Wendell Carter Jr.,ORL,18,39.2
Yves Missi,NOP,27.4,55
Zaccharie Risacher,ATL,3.5,12.6
Zach Collins,CHI,22.4,87.1
Zach Collins,SAS,25.4,34.3
Zach Edey,MEM,9.9,95.7
Zach LaVine,SAC,1.7,22.3
Zeke Nnaji,DEN,10.7,42.8
Ziaire Williams,BKN,1.7,14.1
Zion Williamson,NOP,3.6,78.4
